start	end	text
519000	528000	nós vamos para densidades mais sutis, nós vamos fazer uma evolução no sentido total.
528000	535000	Ah, não só nós, cada um, mas todo o nosso entorno.
535000	544000	E quem vai para a coleta dos DGS vai seguir em outro plano,
544000	550000	em outro planeta, em outro mundo na 3D,
550000	558000	ou seja, vai sair daqui e vai nascer, entre aspas,
558000	570000	vai encarnar em outro lugar com um nível de negatividade menor,
570000	576000	que aqui vai existir a dualidade nesse novo mundo da 3D,
576000	582000	mais menor que hoje está aqui, e também um mundo numa fase mais atrasada,
582000	588000	digamos assim, em uma terra na idade média, tá?
588000	592000	Isso é o que o comandante colocou até hoje.
592000	597000	E basicamente, a diferença dessa coleta para as anteriores,
597000	602000	é que nas anteriores nós seguimos aqui nesse planeta,
602000	608000	nós não conseguimos subir alguns sim, alguns iluminados sim,
608000	616000	mas a maioria de nós não, nós recarnamos sempre aqui no ciclo de Sanzarada,
616000	620000	que o pessoal da espiritualidade chama assim.
620000	627000	Então, qual é o papel hoje do comandante da família?
627000	635000	Tentar aumentar a coleta da resistência, fazendo com que a gente pare de fazer esse ciclo danoso
635000	641000	para nós, que nos deixa preso sempre dentro da ilusão, tá?
641000	649000	O novo mundo 3D também está dentro da ilusão, e a 5D ir para cima,
649000	657000	nós podemos ir mais, podemos 6, 7, 8, até chegar o interior dos interiores,
657000	665000	que não existe uma descrição de que densidade é, da onde que é,
665000	670000	simplesmente é lá perto da fonte, tá?
670000	679000	Vocês forem olhar a RC 77, da Live 77, o professor diz ali bem claro que quem
679000	687000	entra no interior está acima das criações, está acima de tudo que existe,
687000	693000	ou seja, está acima, inclusive, dos hologramas.
693000	698000	Estamos indo bem, estão me entendendo?
698000	703000	Eu estou entendendo perfeitamente, Renato.
703000	706000	Alguma dúvida aí?
706000	715000	Importante entender essa questão da coleta, porque isso é o que está em jogo, tá?
715000	721000	Se alguém tiver alguma dúvida?
721000	724000	Acho que não.
724000	735000	Então, vamos fazer o seguinte, ou se vocês entenderam que o que está em jogo,
735000	742000	que é o jogo, como é que é a coleta, para onde vai uma coleta, para onde vai outra,
743000	753000	vocês vão entender, então, que os digestos farão o possível para implantar
753000	759000	variáveis zendógenas, que a gente, como eu entendo, sempre difere as zendógenas,
759000	762000	o que são as zendógenas?
762000	769000	É tudo que pode ser implantado a nível local, não vende fora, ou seja,
769000	773000	o que pode ser uma variável zendógena?
773000	778000	Pode ser guerra, pode ser pandemia, pode ser um blackout,
778000	787000	um blackout de energia, de comunicações, de transportes, desabastecimentos.
787000	790000	Eles têm muita carta na manga para jogar.
790000	798000	Nós estamos vendo agora que eles estão jogando todos os dias uma carta e a resistência tem conseguido
798000	800000	barrar muitas essas cartas.
800000	808000	Estão vendo, por exemplo, a guerra da Ucrânia, que já foi tentado usar equipamento militar,
808000	812000	de nível nuclear, mas até hoje não.
812000	818000	A guerra rússia já podia ter invadido toda a Ucrânia, não invadiu.
818000	824000	Podia estar num outro nível, mas ainda não está.
824000	831000	Apesar de ter negociações de paz, apesar de hoje, aparentemente e hoje, agora há poucas horas,
831000	834000	uma troca muito forte de agressões.
834000	836000	Mas não é só na Ucrânia.
836000	839000	Nós temos a questão do Oriente Médio.
839000	848000	O Israel agora botou na cabeça que vai tomar gás, isso também vai dar alguns posicionamentos
849000	859000	do pessoal da Europa, França, Alemanha, Inglaterra já se posicionaram contra essa posição do Israel.
859000	865000	Então existe a questão do Paquistão, existe a questão da China, da Taiwan.
865000	874000	Existem muitos pontos de conflito que eles vão tentar acirrar e levar para mais a gente.
874000	886000	Na questão da energia, eu acho que é por aí a nossa maior preocupação.
886000	895000	Por isso até que eu pedi que vocês olhassem aquele vídeo do YouTube que eu mandei.
895000	901000	A energia hoje é toda controlada eletrônicamente, ou seja, por comunicações.
901000	913000	Hoje não existe mais uma usina, seja a hidrelétrica nuclear, a carvão, a full oil,
913000	922000	tipo de usina que vocês quiserem ter, que não tenha um controle eletrônico e a distância.
922000	925000	O sistema todo é interligado.
925000	929000	Eu vivo, por exemplo, perto da fronteira da Argentina com Uruguayana.
929000	936000	Uruguayana tem uma usina, a gas, que é alimentada pelo gas da Argentina,
936000	940000	mas, em geral, quando ela está funcionando, a energia vai para a Argentina.
940000	947000	Ou seja, a usina está no Brasil, mas foi feita para abastecer o Brasil,
947000	952000	mas hoje, quando ela é ligada, ela está abastecendo a Argentina.
952000	957000	E como é que existe essa comunicação, como é que existe a comunicação do Itaipu,
957000	963000	em Belo Monte Conteste, é tudo por meio de comunicação, são sistemas automatizados,
963000	968000	que se falta a luz, isso vai tudo às cucuias.
968000	978000	Perdoe o termo, mas é assim, ou seja, vai haver o corte de comunicações
978000	982000	e vai haver um efeito dominó.
982000	984000	Isso aconteceu a pouco.
984000	991000	Na Espanha, em parte da França, em parte da Béusica, inclusive, porque foi noticiado,
991000	996000	o pessoal que está na Europa sabe que funciona assim.
996000	1003000	Ou seja, uma usina cai, ela afeta que está perto, afeta a outra,
1003000	1007000	a rede se sobrecarrega e cai tudo.
1007000	1014000	Faltando energia, a comunicação em poucas horas também cessa,
1014000	1019000	porque hoje, uma torre de comunicação tem uma autonomia.
1019000	1025000	As muito boas vão a 24 horas, algumas em pontos estratégicos vão a 48 horas,
1025000	1029000	mas a maioria tem bateria para duas, três horas.
1029000	1033000	Eu falo de torres de celular.
1033000	1037000	Faltando luz, vai faltar a comunicação.
1037000	1045000	Faltando luz, vai haver desabastecimento, porque a água não vai ser bombeada.
1045000	1049000	Hoje, qualquer cidade, a água é bombeada.
1049000	1053000	Quem vive em edifício sabe que a água para subir tem que ter uma bomba,
1053000	1055000	essa bomba é elétrica.
1055000	1059000	A água para chegar no reservatório de baixo,
1059000	1063000	o edifício sempre tem dois reservatórios, o de baixo e o de cima.
1063000	1065000	O de baixo é abastecido pela rua.
1065000	1070000	O de cima é uma bomba do próprio edifício que leva a água para cima.
1070000	1074000	Mas a água para chegar no reservatório inferior de um edifício,
1074000	1083000	ele vem da rede pública de água, ou até privada, mas sempre é bombeada.
1083000	1091000	Raras são as cidades que têm água por gravidade.
1091000	1099000	Faltando água, logo vai faltar a higiene,
1099000	1102000	vai ter problema de saúde,
1102000	1109000	vai ter problema nos mercados, problemas de alimentação.
1109000	1113000	Então, ocorre um fator em cadeia.
1113000	1120000	Isso aí está bem descrito nesse videozinho que vocês podem ver aí.
1120000	1125000	E o pessoal da Europa passou por isso agora há alguns dias.
1125000	1132000	Não foi muito tempo e deu para sentir um pouco.
1132000	1140000	Para mim, nenhuma desculpa que foi dada na Espanha me serviu, eu como engenheiro.
1140000	1145000	Para mim, eles fizeram um teste para ver como era a reação do pessoal.
1145000	1150000	A mesma coisa foi com a epidemia de Covid, foi um teste também.
1150000	1155000	Não foi ainda para valer.
1155000	1160000	E a falta de energia causa isso.
1161000	1169000	Isso vai fazer parte de um catalisador endógeno.
1169000	1174000	Ok, pessoal, alguém quer comentar o que passou aí na Europa?
1174000	1178000	A gente já teve alguns comentários no 106 que o professor falou,
1178000	1184000	mas pessoalmente também seria enriquecedor para nós aqui.
1184000	1191000	Eu vejo aqui amigas que moram na Europa, a própria Mônica.
1191000	1200000	Tem uma amiga que mora na Itália, a Giovanna.
1200000	1208000	Então, Renato, realmente o que você falou é assim mesmo.
1208000	1213000	O apagão aqui na minha cidade durou 12 horas, 13 talvez.
1213000	1219000	E é verdade que em muito pouco tempo a gente percebe como tudo cai.
1219000	1226000	O trânsito cai, a comunicação cai, a educação cai, a civilidade cai.
1226000	1228000	Tudo fica, tudo se complica.
1228000	1232000	Então, tudo que você está dizendo é real.
1232000	1237000	É exatamente isso. Sem eletricidade, nada funciona.
1237000	1241000	Nem a comida, nem a água, nem a Europa.
1241000	1245000	Na Espanha, pelo menos, na Europa, com certeza é igual.
1245000	1247000	Tudo funciona a base de eletricidade.
1247000	1251000	Então, se você não tiver dinheiro, você não tem como comprar,
1251000	1253000	mesmo tendo dinheiro muito supermercado,
1253000	1257000	redes grandes que supostamente teriam preparo maior,
1257000	1262000	não conseguiram abrir as portas, poucos postos de gasolina funcionaram.
1262000	1266000	Os que funcionaram, teve uma fila assim, importantíssima.
1266000	1270000	E você já foi, onde eu percebi a primeira falta de civilidade,
1270000	1274000	uma pessoa me cortou assim, um senhor que me cortou,
1274000	1279000	cortou os carros que eu tinha na frente e ainda ficou tirando assim onda com a gente.
1279000	1282000	Como éramos três mulheres, ainda ficou encarando com eles.
1282000	1284000	E daí, tá reclamando do quê?
1284000	1290000	Então, em muito pouco tempo, tudo o que a gente conhece e que funciona,
1290000	1294000	se deteriora consideravelmente.
1294000	1296000	Temos que nos preparar para isso.
1296000	1302000	Quem quiser ter uma ideia disso,
1302000	1306000	vocês podem olhar aquela série do Netflix, o Eternalta,
1306000	1310000	é uma série feita aqui na Argentina.
1310000	1313000	Assistam só os dois primeiros capítulos, tá?
1313000	1315000	É bem interessante.
1315000	1319000	Vocês vão ver aí, depois eu vou falar também
1319000	1323000	uma coisa sobre armas e defesa,
1323000	1327000	que é um ponto complicado de falar, mas eu vou falar porque eu sou argentino,
1327000	1329000	eu tenho armas, posso ter armas,
1329000	1332000	eu posso comprar arma à vontade, munição à vontade,
1332000	1334000	e aqui não é crime.
1334000	1337000	Então, e cada um sabe o que fazer, tá?
1337000	1346000	Mas, numa situação passando de 12 horas, de 24, 48 horas,
1346000	1351000	de caos, vai ser importante alguém ter arma.
1351000	1359000	É um ponto para vocês tomarem nota e ter a arma quer dizer o seguinte,
1359000	1363000	existem dois tipos de armas de fogo, basicamente,
1363000	1366000	dois tipos de armas, a arma de fogo,
1366000	1374000	que é o revolve, a pistola, a espingarda, o rifle,
1374000	1380000	existem as armas brancas, que são facas unhais,
1380000	1383000	e tem as armas eletrônicas, tá?
1383000	1389000	Que são as armas de pimenta, as armas Taser,
1389000	1393000	e tem também um outro tipo de arma, que é de ar comprimido.
1393000	1397000	Para quem tem uma situação complicada no Brasil,
1397000	1399000	a minha sugestão,
1400000	1404000	que vocês nos, pelo menos, comprem o que é permitido,
1404000	1407000	porque eu acho que daqui a pouco também vai ser proibido
1407000	1410000	comprar a arma de ar comprimido.
1410000	1414000	Comprem de munição mais grossa,
1414000	1417000	existem algumas armas da marca, o Marex,
1417000	1421000	que, por exemplo, atira um pelota de pimenta,
1421000	1425000	isso tem um efeito paralisante muito importante,
1425000	1428000	um ataque, tá?
1428000	1432000	Então, a minha sugestão é de quem não possa ter uma arma de fogo,
1432000	1437000	pelo menos tem algum outro tipo de defesa da pessoal.
1437000	1440000	Estamos entendidos?
1440000	1443000	Renato, muito entendidos.
1443000	1446000	Acho que é muito legal essa tua dica,
1446000	1450000	meu irmão, que é policial, realmente falou dessa arma de ar comprimido,
1450000	1452000	e você falou que tem um calibre grande,
1452000	1455000	foi isso que você falou?
1455000	1460000	As armas de ar comprimido,
1460000	1463000	existem vários tipos,
1463000	1466000	existem as de chumbinho,
1466000	1470000	que hoje são cada vez mais poderosas,
1470000	1475000	a maior de chumbinho comercial é 6 milímetros, tá?
1475000	1478000	É uma munição,
1478000	1483000	se ela está numa arma boa de alta pressão,
1483000	1486000	ela pode matar uma pessoa, tá?
1486000	1490000	Se for bem atirada,
1490000	1495000	ela não tem o poder de stop,
1495000	1499000	ou seja, um atacante que vem para cima de ti com uma faca,
1499000	1504000	vamos dizer, se tu atirar com chumbinho, com uma arma dessas,
1504000	1509000	não vai para ele, porque não tem a energia necessária
1509000	1513000	de dar o impacto de fazer o atacante parar.
1513000	1518000	Mas, existem algumas outras, já maiores,
1518000	1523000	que são típicos para essa situação,
1523000	1527000	são basicamente as que se usam para tirar alvo,
1527000	1531000	elas têm de vários tipos,
1531000	1535000	algumas que têm umas bolas de borracha, de plástico,
1535000	1537000	que têm outros que são de pimenta,
1537000	1540000	que têm outros que são de chumbo,
1540000	1544000	e essas são grandes, são mais de 1,5 centímetros,
1544000	1547000	17 milímetros,
1547000	1552000	elas têm alguns limitantes, porque não tem poucos tiros,
1552000	1555000	em geral, elas tiram um só,
1555000	1560000	mas é naquele ditado, é melhor isso do que nada,
1560000	1565000	aí tem uma capacidade de stop, não é igual uma 9 milímetros,
1565000	1568000	um calibre 38 ou alguma coisa assim,
1568000	1574000	mas é interessante vocês pensarem nisso.
1574000	1577000	Entendimento, mas eu ia...
1577000	1580000	Desculpa, posso terminar de falar.
1580000	1585000	Não, e depois existem os rifles de ar comprimido,
1585000	1589000	que hoje existem rifles, inclusive nacionais,
1589000	1596000	muito bons, que 10, 15, 20 metros tem um poder interessante,
1596000	1602000	bem atirado, freia a agressão, digamos assim,
1602000	1608000	e são armas ainda possíveis de serem compradas.
1608000	1612000	Então, mas aí eu tenho uma perguntinha para você.
1612000	1614000	Isso eu acho muito legal,
1614000	1616000	talvez você que é super organizado
1616000	1620000	fazer uma listinha depois de publicar para a gente,
1620000	1626000	mas o negócio não é só ter a arma, é saber usar.
1626000	1630000	É, é um ponto que eu, por exemplo,
1630000	1633000	eu vivo aqui no campo com a Sônia,
1633000	1636000	minha mulher, muitos conhecem ela,
1636000	1639000	inclusive eu já ensinei ela a tirar,
1639000	1641000	eu treino aqui rotineramente,
1641000	1644000	e agora hoje eu marquei com ela a Sônia,
1644000	1648000	sabe do que vem, vamos treinar,
1648000	1652000	hoje comprei mais 10 caixas de munição 9 milímetros
1652000	1657000	e vamos dar tiro, vamos treinar.
1657000	1659000	Outra coisa é o seguinte,
1659000	1664000	nunca, nunca se levanta uma arma para ameaçar,
1664000	1670000	sempre se levanta uma arma para tirar.
1671000	1674000	Isso é importante,
1674000	1676000	em qualquer curso de defesa da pessoa,
1676000	1680000	vocês têm que estar dispostos a tirar,
1680000	1682000	senão é melhor não ter arma,
1682000	1686000	chegar na hora, levantar uma arma e trever a mão,
1686000	1690000	então é melhor não ter, ok?
1690000	1693000	Mas seria interessante fazer um cursinho de tiro,
1693000	1695000	nesse caso, né?
1695000	1698000	Sempre interessante, quanto mais treino melhor,
1698000	1700000	só em arma,
1700000	1702000	em luz de faca, primeiro socorros,
1702000	1706000	tem um monte de treino que seria interessante a gente fazer,
1706000	1708000	todos terem,
1708000	1710000	mas agora a questão é o tempo também,
1710000	1713000	todos, cada um depois de hoje,
1713000	1715000	vai ter que fazer uma lista,
1715000	1717000	o que é mais urgente para mim?
1717000	1720000	Qual é a minha prioridade?
1720000	1722000	Eu tenho bem claro na minha cabeça
1722000	1724000	tudo o que eu tenho que fazer,
1724000	1726000	o que eu não posso fazer,
1726000	1728000	a minha prioridade ou não.
1728000	1731000	Então essa questão das armas,
1731000	1733000	eu me adiantei,
1733000	1736000	eu queria falar por último para vocês,
1736000	1738000	mas ela é importante,
1738000	1744000	ela veio porque eu falei de vocês do Eternalta.
1744000	1746000	Vão lá e vocês vão ter uma ideia
1746000	1749000	como funciona a questão de ter arma ou não.
1749000	1753000	Assistam só os dois primeiros capítulos,
1753000	1758000	o resto já é uma viagem que não vale a pena perder tempo.
1758000	1761000	Ok, pessoal, estamos bem.
1761000	1763000	Quem aqui quer fazer uma colocação?
1763000	1765000	Quem aqui tem experiência com arma?
1765000	1768000	Eu vejo que tem alguns homens aqui no grupo escutando.
1775000	1779000	O Álvaro colocou aqui no Nugotá uma foto,
1779000	1782000	não sei se da arma que você indicou, Renato,
1782000	1784000	o meu Marex.
1787000	1789000	Quem tiver curiosidade está aí a foto,
1789000	1792000	é uma HDRT-68.
1792000	1795000	É, isso aí mesmo.
1797000	1802000	Ela funciona com...
1803000	1805000	como é que eu vou dizer,
1805000	1807000	é um cilindro descartado,
1807000	1809000	de ar comprimento,
1810000	1813000	que é o que faz a pressão.
1814000	1816000	Mas existem muitos modelos, tá?
1816000	1818000	Existem muitos modelos.
1821000	1822000	Aqui eu tenho,
1822000	1824000	eu não tenho arma curta,
1824000	1825000	ar comprimento,
1825000	1827000	eu tenho rifle.
1828000	1830000	Eu tenho rifle,
1833000	1835000	que é de alta pressão,
1835000	1837000	ou seja,
1837000	1839000	eu tenho que usar um ar,
1839000	1841000	uma bomba de ar comprimento,
1841000	1843000	de alta pressão.
1843000	1846000	Então, quanto mais pressão tem uma arma,
1846000	1847000	a gás,
1847000	1849000	o ar,
1849000	1851000	mais potência vai ter o tiro.
1853000	1855000	Mas as Marex
1855000	1857000	é uma boa
1859000	1861000	indicação para quem não tem condições
1861000	1863000	de ter alguma outra.
1864000	1866000	Não tem experiência direta
1866000	1868000	com a Marex,
1868000	1870000	eu conheço ela,
1870000	1872000	de amigos terem.
1872000	1874000	Então, se alguém tem experiência com ela,
1874000	1876000	também pode ajudar o grupo.
1880000	1883000	Mas esse, isso pessoal é um...
1885000	1887000	é um capítulo longo,
1887000	1889000	a defesa pessoal é um capítulo longo,
1889000	1891000	importante.
1893000	1895000	É um outro chat,
1895000	1897000	é um outro chat completo.
1897000	1899000	É um chat aparte,
1899000	1901000	é um chat aparte, tá?
1901000	1903000	Acho melhor a gente voltar para os basiquinhos,
1903000	1905000	porque eu tenho para voar.
1905000	1907000	Regina,
1907000	1909000	o Álvaro está tentando falar
1909000	1911000	e parece que o microfone
1911000	1913000	está bloqueado,
1913000	1915000	você dá uma olhadinha, porque eu não consigo se bloquear.
1915000	1917000	Então, o negócio é o seguinte,
1917000	1919000	alguém, acho que a Sandra,
1919000	1921000	não sei por que colocou um vídeo,
1921000	1923000	colocou um vídeo,
1923000	1925000	e eu estou tentando dispausar
1925000	1927000	o vídeo dela.
1927000	1929000	Eu também entendi.
1929000	1931000	Sandra, você poderia sair e voltar
1931000	1933000	e entrar em casa agora?
1933000	1935000	Eu vou tentar achar o Álvaro.
1935000	1937000	Mas eu não consigo sair,
1937000	1939000	eu não consigo cancelar o vídeo,
1939000	1941000	então vou sair...
1941000	1943000	Você não tem que cancelar?
1943000	1945000	Você já resolve.
1945000	1947000	É que eu já saí e já entrei duas vezes
1947000	1949000	e o vídeo continua aqui,
1949000	1951000	e entra de novo.
1951000	1953000	Gratidão, gratidão.
1953000	1955000	Deixa eu achar o Álvaro aí.
1955000	1957000	É o microfone dele,
1957000	1959000	está desligado.
1959000	1961000	Mas o telefone dele
1961000	1963000	está...
1963000	1965000	O Álvaro pode falar tranquilamente,
1965000	1967000	porque tá aberto, pessoal.
1967000	1969000	Agora ele está bloqueado pela Sandra, sem que vídeo.
1969000	1971000	É, por causa do vídeo, né?
1973000	1975000	Pessoal,
1975000	1977000	vamos combinar
1977000	1979000	o seguinte, tá?
1979000	1981000	Existe muita coisa
1981000	1983000	que tem na internet.
1983000	1985000	Então, o que eu gostaria
1985000	1987000	de passar para vocês hoje mais é
1987000	1989000	falar do evento
1989000	1991000	da sequência dos acontecimentos,
1993000	1995000	coisas que não se acha
1995000	1997000	na internet.
1997000	1999000	E me parece importante a gente
1999000	2001000	estar
2001000	2003000	atento a isso.
2003000	2005000	Por exemplo, a arma tem muito,
2005000	2007000	tem muita coisa na internet.
2007000	2009000	Eu me proponho,
2009000	2011000	eu não sou especialista em arma,
2011000	2013000	mas eu ajudo, se vocês quiserem fazer um chat.
2013000	2015000	Tem outros colegas
2015000	2017000	que devem saber muito mais que eu.
2019000	2021000	Então,
2021000	2023000	é um ponto a se levar
2023000	2025000	em consideração.
2025000	2027000	Tem que fazer
2027000	2029000	uso dele,
2029000	2031000	tem que treinar,
2031000	2033000	tem que se informar
2033000	2035000	qual é a melhor calibre
2035000	2037000	para qualquer situação.
2037000	2039000	Então, eu passaria
2039000	2041000	essa questão das armas
2041000	2043000	como já
2043000	2045000	suficiente que foi
2045000	2047000	falado. O que vocês acham?
2047000	2049000	Eu acho ótimo,
2049000	2051000	porque eu acho que isso daqui como
2051000	2053000	você falou, um curso de autodefesa,
2053000	2055000	armas, etc. dá um chat
2055000	2057000	inteirinho.
2057000	2059000	Muita dúvida.
2059000	2061000	Eu acho que quem, por exemplo, como eu,
2061000	2063000	ser ignorante
2063000	2065000	no assunto, teria que me informar
2065000	2067000	melhor e até fazer um cursinho de tiro.
2067000	2069000	Então, acho que seria um,
2069000	2071000	vamos seguindo em coisas
2071000	2073000	que a gente pode alcançar mais fácil.
2073000	2075000	Vocês concordam?
2077000	2079000	Totalmente de acordo.
2079000	2081000	E cada país tem uma limitação,
2081000	2083000	aqui para você aceder uma arma,
2083000	2085000	cada vez mais complicada. Então, a gente vai ter que
2085000	2087000	adaptar segundo o lugar em que nós estivermos.
2087000	2089000	É melhor dar continuidade mesmo,
2089000	2091000	Renato.
2091000	2093000	Oi, pessoal,
2093000	2095000	aqui é um vaginal.
2095000	2097000	Oi, só...
2097000	2099000	Oi, Renato.
2099000	2101000	Vamos falar, Valmeia, tudo bem contigo?
2101000	2103000	Tudo bem, tudo bem.
2103000	2105000	Tá muito bom, cheguei um pouco atrasado,
2105000	2107000	mas tá muito bom. Deixa eu falar uma coisa
2107000	2109000	que talvez afete, você veja muita gente
2109000	2111000	da Europa,
2111000	2113000	e isso me afeta aqui no Canadá.
2113000	2115000	A gente tá acostumado no Brasil
2115000	2117000	a ter uma casa,
2117000	2119000	a água...
2119000	2121000	Você falou de prédio, é muito importante
2121000	2123000	prédio a outra história, já complica mais
2123000	2125000	também.
2125000	2127000	Se não tiver um gerador
2127000	2129000	para puxar aquela água,
2129000	2131000	o reservatório
2131000	2133000	que fica embaixo
2133000	2135000	tá vazio, acabou, né?
2135000	2137000	Isso é uma coisa.
2137000	2139000	A pessoa tem casa e pensa assim,
2139000	2141000	eu tenho uma casa, tudo bem.
2141000	2143000	Eu tenho 500 litros, eu tenho 1.000 litros
2143000	2145000	de água por um período
2145000	2147000	tudo bem.
2147000	2149000	E a gente sai do Brasil
2149000	2151000	com essa mentalidade. Aqui
2151000	2153000	você não tem uma casa,
2153000	2155000	você não tem uma caixa d'água, porque
2155000	2157000	quando vai a menos
2157000	2159000	20 lá fora
2159000	2161000	a caixa d'água
2161000	2163000	não pode
2163000	2165000	existir, não é assim que funciona, né?
2165000	2167000	Então, a água
2167000	2169000	é só água de rua.
2169000	2171000	Eu não sei como é que é na Espanha, como é que é
2171000	2173000	na Itália, porque
2173000	2175000	na norte da Itália, com certeza, é igual aqui.
2175000	2177000	Não sei
2177000	2179000	outros lugares mais mediterrâneos
2179000	2181000	se talvez. Então, isso já é a mesma coisa.
2181000	2183000	Porque
2183000	2185000	às vezes congela, etc.
2185000	2187000	Então, só tem
